State,MAE,Median_AE,Count,Mean_Error,MAPE,Avg_Yield
NEW MEXICO,25.0,16.67,55,-1.67,inf,106.97
ARIZONA,19.91,17.93,21,13.79,13.6,165.02
MONTANA,18.77,11.13,61,1.24,inf,121.78
CALIFORNIA,18.0,11.57,92,6.35,inf,157.16
OKLAHOMA,15.84,11.33,195,0.36,21.48,92.77
IDAHO,14.73,8.93,75,2.54,inf,142.83
VIRGINIA,14.66,10.65,436,-0.5,inf,99.04
TEXAS,14.54,11.7,505,-0.35,20.71,98.26
GEORGIA,14.28,10.56,536,-0.26,19.77,97.32
COLORADO,14.07,11.79,120,1.22,11.69,133.87
WEST VIRGINIA,13.7,10.26,76,0.59,inf,104.01
WYOMING,13.35,10.22,37,2.49,inf,109.15
ALABAMA,13.31,10.45,275,-1.57,17.62,89.39
WASHINGTON,13.24,12.42,28,4.66,inf,143.66
SOUTH CAROLINA,13.0,10.26,195,-4.14,21.9,76.83
LOUISIANA,12.68,10.93,154,-1.56,11.85,120.24
FLORIDA,12.57,8.63,69,-2.59,17.91,72.85
KANSAS,12.46,10.57,546,0.18,12.86,115.05
NORTH CAROLINA,12.11,9.1,488,0.02,inf,96.51
NEW JERSEY,11.5,9.08,79,-2.55,13.36,104.89
TENNESSEE,11.19,8.55,429,0.48,10.55,109.89
OREGON,11.14,7.08,21,5.43,7.46,146.95
NORTH DAKOTA,11.14,8.52,242,-3.26,17.67,84.98
MISSOURI,11.13,9.19,560,1.0,10.91,115.4
ARKANSAS,11.09,8.22,160,1.38,8.84,139.6
MARYLAND,10.78,7.77,146,2.09,10.77,116.53
NEW YORK,10.77,8.43,281,0.23,10.17,115.25
UTAH,10.77,7.11,60,0.76,inf,128.75
KENTUCKY,10.74,8.17,572,-0.63,10.36,116.6
SOUTH DAKOTA,10.55,8.09,371,1.01,inf,98.86
PENNSYLVANIA,10.53,8.16,385,-0.04,9.95,112.51
MICHIGAN,10.51,8.12,405,-1.07,inf,114.12
MISSISSIPPI,9.78,7.76,311,0.3,9.97,104.43
NEBRASKA,9.55,7.43,511,0.79,7.46,141.81
OHIO,9.14,7.15,503,1.17,7.65,132.21
MINNESOTA,9.03,6.52,485,-0.13,8.54,131.33
ILLINOIS,8.62,6.29,598,-0.94,7.57,141.91
IOWA,8.59,7.12,567,0.28,6.44,150.36
WISCONSIN,8.45,6.68,392,0.44,7.52,127.41
INDIANA,7.4,5.43,530,-0.55,5.67,143.92
DELAWARE,6.41,4.59,14,1.56,6.43,112.23
